address,price,est_monthly_payment,bedrooms,bathrooms,square_footage,property_type,year_built,lot_size,price_per_sqft,parking,state,city,url
"175 Saint Charles Ave, Biloxi, MS 39530",397000,"2,684",3,,2415,Single-family,1959,8712,164,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/175-Saint-Charles-Ave-39530/home/116457010
"12441 Old Cypress Creek Cv, D'Iberville, MS 39540",650000,,3,,2700,Single-family,2001,37026,241,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/12441-Old-Cypress-Creek-Cv-39540/home/115980119
"371 Lakeview Blvd, Biloxi, MS 39531",389000,,3,,2320,Single-family,1985,14374,168,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/371-Lakeview-Blvd-39531/home/115985355
"205 Hopkins Blvd, Biloxi, MS 39530",135000,,2,,1169,Single-family,1948,11761,115,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/205-Hopkins-Blvd-39530/home/116377704
"13248 River Bluff Dr, D'Iberville, MS 39540",310000,,4,,1952,Single-family,2019,9583,159,1 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/13248-River-Bluff-Dr-39540/home/116536246
"15604 Ollie Ln, Biloxi, MS 39532",316777,,5,,2590,Single-family,2017,8276,122,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15604-Ollie-Ln-39532/home/117175355
"8474 Woolmarket Rd, Biloxi, MS 39532",328900,,3,,1795,Single-family,1970,126324,183,3  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/8474-Woolmarket-Rd-39532/home/166192114
,297240,,3,,1893,Single-family,2025,10890,157,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9626-W-Oaklawn-Rd-39532/home/195616814
"14188 Longwood Cir, D'Iberville, MS 39540",659000,,3,,3322,Single-family,1992,56192,198,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/14188-Longwood-Cir-39540/home/144304202
"14145 Millie St, D'Iberville, MS 39540",320000,,4,,2169,Single-family,2004,12632,148,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/14145-Millie-St-39540/home/116354709
"547 Howard Ave, Biloxi, MS 39530",289500,,2,,1400,Single-family,1940,10454,207,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/547-Howard-Ave-39530/home/116655846
"15107 Lemoyne Blvd, Biloxi, MS 39532",230000,,2,,1243,Single-family,2008,16988,185,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15107-Lemoyne-Blvd-39532/home/184076830
"3737 Hamilton Dr, D'Iberville, MS 39540",325000,,4,,1961,Single-family,2022,7405,166,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/3737-Hamilton-Dr-39540/home/180503600
"925 Motsie Rd, Biloxi, MS 39532",202990,,3,,1030,Single-family,2025,1306,197,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/925-Motsie-Rd-39532/home/196264724
"927 Motsie Rd, Biloxi, MS 39532",202990,,3,,1030,Single-family,2025,1306,197,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/927-Motsie-Rd-39532/home/196264697
"15917 Big Ridge Rd, Biloxi, MS 39532",285000,,4,,1663,Single-family,1969,9147,171,2  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15917-Big-Ridge-Rd-39532/home/118939581
